State,District,srcYear,Women_ANC_Reg,Women_ANC_Reg_1st_Tri,Women_ANC_4_Checkups,Women_TT2_Dose,Women_TT_Dose,Pregnant_Women_180_IFA_Tablets,Women_Moderately_Anemic_Hb<11,Women_Severely_Anemic_Treated_Hb<11,Home_Deliveries,Home_Deliveries_Attended_SBA,Home_Deliveries_Attended_TBA/Dai,Deliveries_Public_Institutions,Women_Discharged_Under_48hrs_Public_Facilities,Deliveries_Private_Institutions,Women_Discharged_Under_48hrs_Private_Facilities,Institutional_Deliveries_Total,Total_Reported_Deliveries,C-Section_Deliveries_Public_Facilities,C-Section_Deliveries_Private_Facilities,Women_1st_Postpartum_Checkup_<48hrs,Women_1st_Postpartum_Checkup_48hrs_to_14_days,Reported_Live_Births,Reported_Still_Births,Newborns_Weighed_at_Birth,Newborns_Weight_Less_than_25kg,Newborns_Breastfed_within_1hr,Sex_Ratio_at_Birth,Pregnant_Women_360_Calcium_Tablets,Pregnant_Women_One_Albendazole_Tablet_After_1st_Trimester,Pregnant_Women_Tested_for_Blood_Sugar_using_OGTT,Pregnant_Women_Tested_Positive_for_Gestational_Diabetes_Mellitus,Pregnant_Women_Tested_for_Syphilis,Pregnant_Women_Tested_for_Syphilis_Positive,Maternal_Deaths,Facility_Based_Maternal_Death_Reviews_Done,Abortions_Reported,MTPs_Public_Institutions,Vasectomies_Total,Tubectomies_Total,Sterilisation_Total,Sterilisation_Private_Institutions,Sterilisation_Public_Institutions,Death cases following sterilisation,Death_Cases_Male_Following_Male_Sterilisation,Death_Cases_Female_Following_Female_Sterilisation,Cases_of_Failure_Male_Sterilisations,Cases_of_Failure_Female_Sterilisations,Cases_of_Complication_Male_Sterilisations,Cases_of_Complication_Female_Sterilisations,IUCD_Insertions_Public_Facilities,IUCD_Insertions_Private_Facilities,Interval_IUCD_Insertions,PP_IUCD_Insertions_Done,Post_Abortion_IUCD_Insertions_Done,Oral_Pills_Distributed,Emergency_Pills_Distributed,Condoms_Distributed,Centchroman_Distributed,Beneficiaries_1st_Dose_Injectable_Contraceptive,Beneficiaries_2nd_Dose_Injectable_Contraceptive,Beneficiaries_3rd_Dose_Injectable_Contraceptive,Beneficiaries_4th_Dose_Injectable_Contraceptive,Pregnancy_Testing_Kits_Used,Infants_Oral_Polio_Vaccine,Infants_BCG_Vaccine,Infants_Hepatitis_Birth_Dose,Infants_DPT1_Vaccine,Infants_DPT2_Vaccine,Infants_DPT3_Vaccine,Infants_Pentavalent1_Vaccine,Infants_Pentavalent2_Vaccine,Infants_Pentavalent3_Vaccine,Infants_Measles_Immunisation,Infants given Measles Rubella immunisation,Number of fully immunized children in the age group of 9 to 11 months,Abcess cases due to Adverse Events Following Immunization ( AEFI ),Deaths due to Adverse Events Following Immunization ( AEFI ),Cases of other complications due to Adverse Events Following Immunization (AEFI),Children under 5 years of age suffered from Pneumonia,Children under 5 years of age suffered from Asthma,Children under 5 years of age suffered from Sepsis,Children under 5 years of age suffered from Diphtheria,Children under 5 years of age suffered from Pertussis,Children under 5 years of age suffered from Tetanus Neonatorum,Children under 5 years of age suffered from Tuberculosis ( TB ),Children under 5 years of age suffered from Acute Flaccid Paralysis ( AFP ),Children under 5 years of age suffered from Measles,Children under 5 years of age suffered from Malaria,Children under 5 years of age suffered from Diarrhea,Children under 5 years of age treated for Diarrhea in In-Patient Department,Infants received the 1st dose of Measles Rubella Vaccine,Infants received the 1st dose of Rotavirus Vaccine,Infants received the 2nd dose of Rotavirus Vaccine,Infants received the 3rd dose of Rotavirus Vaccine,Children age group 16 to 24 months given the 2nd dose of Measles,Children age group 16 to 24 months given the 2nd dose of Measles Rubella Vaccine  ,Patients in In-patients Department ( IPD ),Patients in Out-Patients Department given Allopathic treatment,"Patients in Out-Patients Department given Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homoeopathy ( Ayush ) treatment","Patients in Out-Patients Department given Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homoeopathy ( Ayush ) and Allopathic treatment",Major operations conducted,Minor operations conducted,Hysterectomy surgeries performed,Dental procedure conducted patients in Out-Patient Department ( OPD ),Infant deaths reported,Institutional deliveries at urban health facilities,YearCode,year
Jammu & Kashmir,Badgam,2017-18,12592,12104,9707,11465,1366,10347,6402,34.0,2.0,0.0,2.0,3789,16,,,3789,3791,1399.0,,1,3716,3777,16,3777,42,3777,1022,2656,8827,76.0,0.0,9,0.0,1.0,0.0,232,2.0,68.0,394.0,462.0,,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141,,983,158.0,0.0,25004,1071,163045,403.0,74.0,0.0,0.0,0.0,6497,3777,4126,3776,,,,12479,12573,12906,13055.0,,13060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,11,,,,,12581.0,,52405,1723684,134873,1858557,4444.0,28880.0,722.0,124353,21.0,,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,Lahul Spiti,2017-18,321,219,92,118,90,148,89,0.0,20.0,1.0,19.0,61,58,0.0,0.0,61,81,0.0,0.0,25,37,80,1,76,1,78,1581,89,62,91.0,4.0,81,3.0,0.0,0.0,8,0.0,25.0,50.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,14,0.0,0.0,3226,233,41131,0.0,6.0,0.0,0.0,0.0,566,67,78,66,0.0,0.0,0.0,268,303,318,124.0,141.0,237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,3,141.0,175.0,193.0,221.0,108.0,186.0,1428,111328,0,111328,0.0,135.0,0.0,1744,0.0,,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,East Jaintia Hills,2017-18,4627,1501,1235,2050,1645,1624,3559,19.0,1800.0,179.0,1621.0,858,831,,,858,2658,0.0,,965,1475,2630,51,2259,133,2313,917,462,340,2470.0,52.0,3111,279.0,4.0,,110,16.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,,93,4.0,4.0,4832,154,10469,17.0,0.0,0.0,0.0,0.0,2587,1235,3171,748,39.0,48.0,43.0,4096,4077,3963,3492.0,0.0,3475,4.0,0.0,213.0,339.0,51.0,0.0,0.0,0.0,0.0,3.0,0.0,79.0,65.0,6925,428,0.0,0.0,0.0,0.0,3313.0,0.0,7430,135815,17557,153372,0.0,1972.0,0.0,2171,70.0,,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,North,2017-18,569,507,474,450,90,477,72,0.0,5.0,2.0,3.0,197,5,,,197,202,0.0,,7,365,200,1,199,16,198,770,468,383,33.0,0.0,243,1.0,0.0,0.0,20,21.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,,29,13.0,1.0,8453,118,14886,12.0,12.0,1.0,0.0,0.0,1590,200,201,196,0.0,1.0,0.0,477,477,479,424.0,8.0,436,3.0,0.0,39.0,4.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,407,43,8.0,0.0,0.0,0.0,1.0,0.0,1545,57806,865,58671,0.0,818.0,0.0,2468,8.0,,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,Shrawasti,2017-18,49033,18849,19915,31524,8678,29943,20597,429.0,5015.0,547.0,4468.0,28670,21454,,,28670,33685,30.0,,11137,7597,31829,994,28255,3977,27355,918,19442,10552,0.0,0.0,2532,22.0,29.0,0.0,83,0.0,0.0,516.0,516.0,,516.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3296,,642,2648.0,6.0,16191,4834,74506,3725.0,82.0,6.0,0.0,12.0,6118,24240,41433,22616,1318.0,882.0,703.0,37276,35661,34111,33585.0,646.0,33670,26.0,0.0,37.0,1489.0,123.0,48.0,66.0,0.0,1.0,10.0,4.0,49.0,82.0,1781,138,646.0,29.0,0.0,0.0,31061.0,557.0,28598,637311,195584,832895,153.0,363.0,3.0,8029,65.0,,2017,"Financial Year (Apr - Mar), 2017"
Arunachal Pradesh,Kra Daadi,2018-19,279,102,53,131,45,183,52,0.0,84.0,80.0,4.0,51,50,,,51,135,0.0,,36,23,129,0,121,3,121,817,60,29,0.0,0.0,60,0.0,0.0,,1,3.0,0.0,8.0,8.0,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,,8,6.0,0.0,621,175,977,96.0,0.0,0.0,0.0,4.0,297,94,115,79,60.0,56.0,46.0,193,198,191,51.0,184.0,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,155,26,184.0,18.0,18.0,18.0,65.0,81.0,758,7509,614,8123,0.0,67.0,0.0,84,0.0,,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,East Kameng,2018-19,1619,1010,159,713,239,366,73,3.0,46.0,35.0,11.0,635,514,,,635,681,0.0,,48,124,673,8,578,36,581,1039,125,58,59.0,0.0,33,0.0,1.0,0.0,4,227.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,,131,15.0,4.0,1502,121,1149,15.0,0.0,0.0,0.0,0.0,668,580,739,447,15.0,14.0,18.0,1043,1014,1003,151.0,725.0,770,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,10.0,158.0,514,47,725.0,0.0,0.0,0.0,115.0,170.0,2341,40961,4474,45435,0.0,21.0,0.0,2546,6.0,,2018,"Financial Year (Apr - Mar), 2018"
Bihar,Lakhisarai,2018-19,28650,25734,25716,17561,10845,26191,18281,143.0,3659.0,1799.0,1860.0,15128,14275,,,15128,18787,43.0,,7611,6122,18633,207,18537,1643,18448,899,23056,11728,570.0,0.0,210,0.0,3.0,0.0,10,0.0,11.0,3033.0,3044.0,,3044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6118,,4695,1368.0,55.0,9324,1787,88658,146.0,1778.0,639.0,237.0,110.0,7284,15742,23601,15274,1.0,0.0,0.0,26934,26259,25933,16276.0,9904.0,26071,4.0,0.0,122.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,70,68,9904.0,0.0,0.0,0.0,15547.0,8771.0,50464,617662,52611,670273,4453.0,10753.0,382.0,10045,18.0,2588.0,2018,"Financial Year (Apr - Mar), 2018"
Jammu & Kashmir,Badgam,2018-19,12379,12289,9632,12060,27,8592,6609,58.0,2.0,2.0,0.0,3505,1,,,3505,3507,1312.0,,0,3669,3509,8,3509,46,3509,969,6153,7928,48.0,0.0,0,0.0,7.0,0.0,225,0.0,54.0,314.0,368.0,,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937,,688,249.0,0.0,27227,1348,164396,675.0,1274.0,565.0,219.0,76.0,9376,3511,3927,3511,0.0,0.0,0.0,13266,13546,13402,6052.0,5358.0,11410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,25,5358.0,,,,6281.0,4535.0,53097,1765155,138780,1903935,4210.0,34156.0,801.0,137175,19.0,,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,Lahul Spiti,2018-19,300,207,115,169,97,226,103,0.0,17.0,3.0,14.0,71,66,0.0,0.0,71,88,0.0,0.0,10,14,87,1,87,6,86,891,173,92,156.0,1.0,113,0.0,0.0,0.0,3,0.0,4.0,13.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,18,0.0,0.0,3161,92,35739,0.0,28.0,5.0,2.0,1.0,380,73,88,73,0.0,0.0,0.0,240,266,270,0.0,284.0,284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,1,284.0,240.0,266.0,270.0,0.0,243.0,1155,111031,0,111031,0.0,123.0,0.0,2816,0.0,,2018,"Financial Year (Apr - Mar), 2018"
