srcStateName,srcDistrictName,srcYear,Women registered for Ante Natal Care( ANC ),Women registered for Ante Natal Care ( ANC ) within first trimester,Registrations for Ante Natal Care ( ANC ) in the first trimester (to total ANC registrations) (%),Women received 4 or more ( ANC ) check-ups,Women received the second dose of tetanus-toxoid vaccine ( TT2 ),Women received the dose of tetanus-toxoid vaccine ( TT ),Pregnant women received 4 Ante Natal Care ( ANC ) check ups (to total ANC registrations) (%),Pregnant women received tetanus-toxoid vaccine ( TT2 ) or tetanus-toxoid ( TT )  booster (to total ANC registrations) (%),Pregnant women received 180 Iron and Folic Acid tablets,Women received 180 IFA tablets (to total ANC registrations) (%),Women having tested moderately anemic with Hemoglobin ( Hb )<11,Women having tested with severe anemia with Hemoglobin ( Hb ) and are being treated at an institution,Pregnant women with Hemoglobin ( Hb ) levels<7 (severe anemia) (to women with Hemoglobin ( Hb ) levels<11 (moderate anemia)) (%),Women detected with hypertension (%),Home deliveries,Home deliveries attended by doctor or nurse or Auxiliary Nurse Midwife ( ANM ) trained as ( SBA ),Home deliveries attended by Traditional Birth Attendants ( TBA ) or Dai non-trained as Skill Birth Attendants ( SBA ),Home deliveries attended by Skilled Birth Attendants (%),Deliveries conducted at public institutions,Women discharged under 48 hours of delivery in public facilities,Women discharged in less than 48 hours of delivery in public institutions (%),Deliveries conducted at private institutions,Women discharged under 48 hours of delivery in private facilities,Women discharged in less than 48 hours of delivery in private facilities (%),Institutional deliveries includes both public and private institutions,Institutional deliveries (to total ANC registrations) (%),Total reported deliveries,Institutional Deliveries (to total reported deliveries) (%),Safe Deliveries (to total reported deliveries) (%),Home deliveries (to total reported deliveries) (%),Caesarean ( C-Section ) deliveries conducted at Public facilities,Caesarean ( C-Section ) deliveries conducted at Private facilities,C-Section deliveries to reported institutional deliveries (%),C-Section deliveries conducted at public facilities to reported institutional deliveries (%),C-Section deliveries conducted at private facilities (to reported institutional deliveries) (%),Deliveries conducted at public facilities (to reported institutional deliveries) (%),Deliveries conducted at private facilities (to reported institutional deliveries) (%),Women received first post partum check up within 48 hours of delivery,Women received first postpartum checkup between 48 hours to 14 days of delivery,Women received post partum check up within 48 hours of delivery (to total reported deliveries) (%),Women received a postpartum checkup or Post-Natal Care between 48 hours to 14 days of delivery (%),Reported live births,Reported live births (to total deliveries) (%),Reported still births,Reported live births (to reported births) (%),Newborns weighed at birth,Newborns weighed at birth (to reported live births) (%),Newborns having weight less than 25 kg,Newborns having weight less than 25 kg (to newborns weighed at birth) (%),New borns breastfed within 1 hour,New borns breastfed within 1 hour (to total live births) (%),Sex ratio at birth,Pregnant women with obstetric complications (who were attended to) (to total reported deliveries) (%),Complicated pregnancies treated with blood transfusion (to total women with obstetric complications) (%),Pregnant women given 360 calcium tablets,Pregnant women given 360 calcium tablets to total Ante Natal Care ( ANC ) registrations (%),Pregnant women given one Albendazole tablet after first trimester,Pregnant women given one Albendazole tablet after first trimester (%),Pregnant women tested for blood sugar using Oral Glucose Tolerance Test ( OGTT ),Pregnant women tested for blood sugar using Oral Glucose Tolerance Test ( OGTT ) (to total ANC registrations) (%),Pregnant women tested positive for Gestational Diabetes Mellitus,Pregnant women tested positive for Gestational Diabetes Mellitus (%),Pregnant women tested for Syphilis,Pregnant women tested for Syphilis and were found sero positive,Pregnant women tested for Syphilis found to be  Ante Natal Care ( ANC ) (%),Pregnant women treated for Syphilis found to be sero positive for Syphilis (%),Babies treated for congenital Syphilis (to total babies diagnosed with Congenital Syphilis) (%),Maternal deaths,Facility based maternal death reviews done,Abortions reported,Medical Termination of Pregnancies ( MTPs ) at public institutions,Medical Termination of Pregnancies conducted at public institutions (to total abortions) (%),Medical Termination of Pregnancies ( MTPs ) up to 12 weeks of pregnancy (to total MTPs conducted at Public Institutions) (%),Medical Termination of Pregnancies ( MTPs ) more than 12 weeks of pregnancy (to total MTPs conducted at public institutions) (%),Medical Termination of Pregnancies ( MTPs ) conducted at public institutions (to total MTPs (Private + Public)) (%),Medical Termination of Pregnancies ( MTPs ) conducted at private institutions (to total MTPs (Private + Public)) (%),Total Medical Termination of Pregnancies conducted at public institutions (to total Ante Natal Care registrations) (%),Vasectomies conducted in Public and Private institutions,Tubectomies conducted in Public and Private institutions,Sterilisation conducted,Male sterilization (to total sterilisation) (%),Female sterilisations (to total sterilisation) (%),Sterilisation conducted at private institutions,Sterilisation conducted at public institutions,Sterilisations conducted at other public institutions (to total sterilisation) (%),Sterilisations conducted at other priavte institutions (to total sterilisation) (%),Laparoscopic sterlisations (to total female sterilisations) (%),Mini lap sterlisations (to total female sterilisations) (%),Post partum sterilisations (to total female sterilisations) (%),Post Abortion sterilisations (to total female sterilisations) (%),Laparoscopic sterlisations at public Institutions (to total laparoscopic sterilisations) (%),Laparoscopic sterlisations at public Institutions (to total mini lap sterilisations) (%),Post partum sterlisations at public institutions (to total post partum sterilisation) (%),Post Abortion sterlisations at public institutions (to total post partum sterilisation) (%),Death cases following sterilisation,Death cases of male following male sterilisation,Death cases of female following female sterilisation,Cases of failure following male sterilisations,Cases of failure following female sterilisations,Cases of complication following male sterilisations,Cases of complication following female sterilisations,Intrauterine Contraceptive Device insertions done at public facilities,Intrauterine Contraceptive Device insertions done at private facilities,Post Partum Intrauterine Contraceptive Device ( PP IUCD ) insertions in public facilities (to total IUCD insertions in public facilities) (%),Post Partum Intrauterine Contraceptive Device insertions in public facilities (to total institutional deliveries in public facilities) (%),Intrauterine Contraceptive Device ( IUCD ) insertions in public and private facilities (to all family planning methods (IUCD and permanent methods)) (%),Interval Intrauterine Contraceptive Device insertions done,Post Partum Intrauterine Contraceptive Device insertions done,Post Abortion Intrauterine Contraceptive Device insertions done,Combined oral pills distributed,Emergency pills distributed,Condom pieces distributed,Number of Centchroman (weekly pills) distributed,Beneficiaries given 1st dose of Injectable contraceptive,Beneficiaries given 2nd dose of Injectable contraceptive,Beneficiaries given 3rd dose of Injectable contraceptive,Beneficiaries given 4th dose or more than 4 doses of Injectable contraceptive,Pregnancy testing kits used,Infants given Oral Polio Vaccine,Infants given Bacillus Calmette Guerin ( BCG ) vaccine,Infants given Hepatitis (Birth Dose),Newborns given Oral poliovirus vaccines ( OPV ) at birth (to reported live births) (%),Newborns given Bacillus Calmette Guerin  ( BCG ) at birth (to reported live births) (%),Newborns given Hep-B0 (Birth Dose) at birth (to total reports live births) (%),"Number of infants given Diphtheria, Pertussis (whooping cough), and Tetanus ( DPT ) 1 vaccine","Infants given Diphtheria, Pertussis (whooping cough), and Tetanus ( DPT ) 2 vaccine","Infants given Diphtheria, Pertussis (whooping cough), and Tetanus ( DPT ) 3 vaccine",Infants given Pentavalent 1 vaccine,Infants given Pentavalent 2 vaccine,Infants given Pentavalent 3 vaccine,Infants given measles immunisation,Infants given Measles Rubella immunisation,Infants aged up to 11 months who received Measles and Measles Rubella vaccine (to reported live births) (%),Number of fully immunized children in the age group of 9 to 11 months,Immunization dropout between Bacillus Calmette Guerin ( BCG ) and measles vaccine (%),Children given Vitamin-A dose 1 (to reported live births) (%),Children given Vitamin-A dose 9 (to children given Vitamin-A dose 1) (%),Abcess cases due to Adverse Events Following Immunization ( AEFI ),Deaths due to Adverse Events Following Immunization ( AEFI ),Cases of other complications due to Adverse Events Following Immunization (AEFI),Immunisation sessions held (to immunisation sessions planned) (%),Immunisation sessions where Accredited Social Health Activists ( ASHA ) were present (to immunisation sessions planned) (%),Children under 5 years of age suffered from Pneumonia,Children under 5 years of age suffered from Asthma,Children under 5 years of age suffered from Sepsis,Children under 5 years of age suffered from Diphtheria,Children under 5 years of age suffered from Pertussis,Children under 5 years of age suffered from Tetanus Neonatorum,Children under 5 years of age suffered from Tuberculosis ( TB ),Children under 5 years of age suffered from Acute Flaccid Paralysis ( AFP ),Children under 5 years of age suffered from Measles,Children under 5 years of age suffered from Malaria,Children under 5 years of age suffered from Diarrhea,Children under 5 years of age treated for Diarrhea in In-Patient Department,Infants received the 1st dose of Measles Rubella Vaccine,Infants received the 1st dose of Rotavirus Vaccine,Infants received the 2nd dose of Rotavirus Vaccine,Infants received the 3rd dose of Rotavirus Vaccine,Children age group 16 to 24 months given the 2nd dose of Measles,Children age group 16 to 24 months given the 2nd dose of Measles Rubella Vaccine  ,Female adult patients in In-patient Department ( IPD ) (to total adult patients in IPD) (%),Children in In-patient Department ( IPD ) (to total patients in IPD) (%),Female In-patient Department ( IPD ) deaths (to total deaths in IPD) (%),Number of In-patient Department ( IPD ) deaths (to total patients in IPD) (%),Patients in In-patients Department ( IPD ),Patients in Out-Patients Department given Allopathic treatment,"Patients in Out-Patients Department given Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homoeopathy ( Ayush ) treatment","Patients in Out-Patients Department given Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homoeopathy ( Ayush ) and Allopathic treatment",Number of patients in In-patient Department ( IPD ) (to number of patients in Out-patients Department ( OPD )) (%),Major operations conducted,Minor operations conducted,Major operations conducted (to total operations conducted) (%),Hysterectomy surgeries performed,Hysterectomy surgeries performed (to number of major operations conducted) (%),"Patients given Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homoeopathy ( AYUSH ) treatment in Out-Patient Department ( OPD ) (to total number of patients in OPD) (%)",Dental procedure conducted patients in Out-Patient Department ( OPD ),Patients in Out-Patient Department (  OPD ) on whom Dental procedure was conducted (to total number of patients in OPD) (%),Cases having Haemoglobin ( Hb ) less than 7gm/dl (to number of Hb tests conducted) (%),Male Human immunodeficiency virus ( HIV ) positive cases (to total number of HIV tests conducted on males) (%),Females screened for Human immunodeficiency virus ( HIV ) (to total ANC registrations) (%),Female Human immunodeficiency virus ( HIV ) positive cases (to total number of HIV tests conducted on Females) (%),Human immunodeficiency virus ( HIV ) positive cases (to total number of HIV tests conducted) (%),Blood smears tested positive for Plasmodium Vivax (to total blood smears examined for Malaria) (%),Blood smears tested positive for Plasmodium Falciparum (to total blood smears examined for Malaria) (%),Infant deaths reported,Deaths due to Sepsis (to total reported infant deaths) (%),Deaths due to Asphyxia (to total reported infant deaths) (%),Deaths due to Pneumonia (to total reported infant deaths ) (%),Deaths due to Diarrhea (to total reported infant deaths ) (%),Deaths due to Fever to total reported infant deaths (%),Deaths due to Measles ( to total reported infant deaths ) (%),Institutional deliveries at urban health facilities,YearCode,year
Jammu & Kashmir,Badgam,2017-18,12592,12104,96.1,9707,11465,1366,77.1,101.9,10347,82.2,6402,34,82.9,2.1,2,0,2,0,3789,16,0.4,,,,3789,30.1,3791,99.9,99.9,0.1,1399,,36.9,36.9,,100,0,1,3716,50,98,3777,99.6,16,99.6,3777,100,42,1.1,3777,100,1022,6.8,74,2656,21.1,8827,70.1,76,0.6,0,0,9,0,0.1,,,1,0,232,2,0.9,100,0,100,0,0,68,394,462,14.7,85.3,,462,0,100,38.3,49.2,11.4,1,100,100,100,100,0,0,0,0,0,0,0,1141,,13.8,4.2,71.2,983,158,0,25004,1071,163045,403,74,0,0,0,6497,3777,4126,3776,100,109.2,100,,,,12479,12573,12906,13055,,345.6,13060,-216.4,343.7,140.1,0,0,0,89.5,99.5,0,0,0,0,0,0,0,0,0,0,17,11,,,,,12581,,54.1,16.6,,0,52405,1723684,134873,1858557,2.8,4444,28880,13.3,722,16.2,7.3,124353,6.7,0.2,0,22,0,0,,,21,4.8,19,0,0,0,0,,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,Lahul Spiti,2017-18,321,219,68.2,92,118,90,28.7,64.8,148,46.1,89,0,0,1.2,20,1,19,5,61,58,95.1,0,0,,61,19,81,75.3,76.5,24.7,0,0,0,0,,100,0,25,37,125,45.7,80,98.8,1,98.8,76,95,1,1.3,78,97.5,1581,0,,89,27.7,62,19.3,91,28.3,4,1.2,81,3,25.2,33.3,,0,0,8,0,0,,,,,0,25,50,75,33.3,66.7,0,75,0,100,100,0,0,0,100,,,,0,0,0,0,0,0,0,14,0,0,0,15.7,14,0,0,3226,233,41131,0,6,0,0,0,566,67,78,66,83.8,97.5,82.5,0,0,0,268,303,318,124,141,331.3,237,-59,332.5,118.4,0,0,0,91.4,71.4,1,0,0,0,0,0,0,0,0,0,210,3,141,175,193,221,108,186,50,15.3,11.1,0.6,1428,111328,0,111328,1.3,0,135,0,0,,0,1744,1.6,1.7,0,124.6,0,0,0,0,0,,,,,,,,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,East Jaintia Hills,2017-18,4627,1501,32.4,1235,2050,1645,26.7,79.9,1624,35.1,3559,19,29.2,3.2,1800,179,1621,9.9,858,831,96.9,,,,858,18.5,2658,32.3,39,67.7,0,,0,0,,100,0,965,1475,53.6,55.5,2630,98.9,51,98.1,2259,85.9,133,5.9,2313,87.9,917,7,0,462,10,340,7.3,2470,53.4,52,1.1,3111,279,67.2,16.8,,4,,110,16,12.7,93.8,6.3,100,0,0.3,0,0,0,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,101,,4,0.5,100,93,4,4,4832,154,10469,17,0,0,0,0,2587,1235,3171,748,47,120.6,28.4,39,48,43,4096,4077,3963,3492,0,132.8,3475,-10.1,165.7,17.6,4,0,213,87.9,70.1,339,51,0,0,0,0,3,0,79,65,6925,428,0,0,0,0,3313,0,70.7,47.3,0,0.1,7430,135815,17557,153372,4.8,0,1972,0,0,,11.4,2171,1.4,1.9,9.8,11.1,4.9,6.8,0.4,0.2,70,2.9,1.4,2.9,4.3,8.6,0,,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,North,2017-18,569,507,89.1,474,450,90,83.3,94.9,477,83.8,72,0,0,3.5,5,2,3,40,197,5,2.5,,,,197,34.6,202,97.5,98.5,2.5,0,,0,0,,100,0,7,365,140,180.7,200,99,1,99.5,199,99.5,16,8,198,99,770,0.5,0,468,82.2,383,67.3,33,5.8,0,0,243,1,42.7,100,,0,0,20,21,51.2,100,0,100,0,3.7,0,0,0,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,43,,30.2,6.6,100,29,13,1,8453,118,14886,12,12,1,0,0,1590,200,201,196,100,100.5,98,0,1,0,477,477,479,424,8,216,436,-110.9,221,90.5,3,0,39,99.6,97.7,4,15,0,0,0,0,5,0,4,0,407,43,8,0,0,0,1,0,55.6,25.4,15.4,0.8,1545,57806,865,58671,2.6,0,818,0,0,,1.5,2468,4.2,0.9,0,46.9,0,0,0,0,8,0,0,25,0,0,0,,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,Shrawasti,2017-18,49033,18849,38.4,19915,31524,8678,40.6,82,29943,61.1,20597,429,14.8,1.6,5015,547,4468,10.9,28670,21454,74.8,,,,28670,58.5,33685,85.1,86.7,14.9,30,,0.1,0.1,,100,0,11137,7597,222.1,22.6,31829,94.5,994,97,28255,88.8,3977,14.1,27355,85.9,918,5.1,47.7,19442,39.7,10552,21.5,0,0,0,0,2532,22,5.2,4.5,,29,0,83,0,0,,,,,0,0,516,516,0,100,,516,0,100,100,0,0,0,100,,,,0,0,0,0,0,0,1,3296,,80.3,9.2,86.5,642,2648,6,16191,4834,74506,3725,82,6,0,12,6118,24240,41433,22616,76.2,130.2,71.1,1318,882,703,37276,35661,34111,33585,646,107.5,33670,18.9,125.9,51.5,26,0,37,101.8,101.6,1489,123,48,66,0,1,10,4,49,82,1781,138,646,29,0,0,31061,557,71.6,30.5,46.6,0.7,28598,637311,195584,832895,3.4,153,363,29.7,3,2,23.5,8029,1,6.6,1,14.6,4.9,3.5,0,0.2,65,16.9,13.8,0,0,24.6,0,,2017,"Financial Year (Apr - Mar), 2017"
Arunachal Pradesh,Kra Daadi,2018-19,279,102,36.6,53,131,45,19,63.1,183,65.6,52,0,,1.1,84,80,4,95.2,51,50,98,,,,51,18.3,135,37.8,97,62.2,0,,0,0,,100,0,36,23,42.9,17,129,95.6,0,100,121,93.8,3,2.5,121,93.8,817,0,,60,21.5,29,10.4,0,0,0,0,60,0,21.5,,100,0,,1,3,75,66.7,33.3,100,0,1.1,0,8,8,0,100,,8,0,100,0,50,50,0,,100,100,,0,0,0,0,0,0,0,14,,42.9,11.8,63.6,8,6,0,621,175,977,96,0,0,0,4,297,94,115,79,72.9,89.1,61.2,60,56,46,193,198,191,51,184,182.2,189,55.7,69,39.3,0,0,0,95.4,89.5,0,0,0,0,0,0,0,0,0,7,155,26,184,18,18,18,65,81,53.7,42.2,,0,758,7509,614,8123,9.3,0,67,0,0,,7.6,84,1,5.2,0,1.8,0,0,0,0,0,,,,,,,,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,East Kameng,2018-19,1619,1010,62.4,159,713,239,9.8,58.8,366,22.6,73,3,100,0.3,46,35,11,76.1,635,514,80.9,,,,635,39.2,681,93.2,98.4,6.8,0,,0,0,,100,0,48,124,104.3,18.2,673,98.8,8,98.8,578,85.9,36,6.2,581,86.3,1039,0,,125,7.7,58,3.6,59,3.6,0,0,33,0,2,,,1,0,4,227,98.3,99.1,0.9,100,0,14,0,0,0,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,150,,10,2.4,100,131,15,4,1502,121,1149,15,0,0,0,0,668,580,739,447,86.2,109.8,66.4,15,14,18,1043,1014,1003,151,725,130.2,770,79.6,54.8,12.7,0,0,4,97.3,108.2,1,0,0,1,0,0,19,0,10,158,514,47,725,0,0,0,115,170,67.9,32.8,100,0,2341,40961,4474,45435,5.2,0,21,0,0,,9.8,2546,5.6,1.8,0,9.9,0,0,1.4,0,6,0,0,16.7,0,0,0,,2018,"Financial Year (Apr - Mar), 2018"
Bihar,Lakhisarai,2018-19,28650,25734,89.8,25716,17561,10845,89.8,99.1,26191,91.4,18281,143,21.2,0.4,3659,1799,1860,49.2,15128,14275,94.4,,,,15128,52.8,18787,80.5,90.1,19.5,43,,0.3,0.3,,100,0,7611,6122,208,32.6,18633,99.2,207,98.9,18537,99.5,1643,8.9,18448,99,899,2.6,0,23056,80.5,11728,40.9,570,2,0,0,210,0,0.7,,,3,0,10,0,0,,,,,0,11,3033,3044,0.4,99.6,,3044,0,100,0,87.4,12.6,0,,100,100,,0,0,0,0,0,0,0,6118,,22.4,9,66.8,4695,1368,55,9324,1787,88658,146,1778,639,237,110,7284,15742,23601,15274,84.5,126.7,82,1,0,0,26934,26259,25933,16276,9904,140.5,26071,31,0.1,0,4,0,122,100,71.9,0,0,0,0,8,0,0,0,2,0,70,68,9904,0,0,0,15547,8771,80.1,40.1,48.9,0.1,50464,617662,52611,670273,7.5,4453,10753,29.3,382,8.6,7.8,10045,1.5,2.3,3.8,22.1,0.6,2.1,0.7,0.3,18,5.6,0,0,0,0,0,2588,2018,"Financial Year (Apr - Mar), 2018"
Jammu & Kashmir,Badgam,2018-19,12379,12289,99.3,9632,12060,27,77.8,97.6,8592,69.4,6609,58,100,1.8,2,2,0,100,3505,1,0,,,,3505,28.3,3507,99.9,100,0.1,1312,,37.4,37.4,,100,0,0,3669,0,104.6,3509,100.1,8,99.8,3509,100,46,1.3,3509,100,969,5.6,100,6153,49.7,7928,64,48,0.4,0,0,0,0,0,,,7,0,225,0,0,,,,,0,54,314,368,14.7,85.3,,368,0,100,17.5,65.3,17.2,0,100,100,100,,0,0,0,0,0,0,0,937,,26.6,7.1,71.8,688,249,0,27227,1348,164396,675,1274,565,219,76,9376,3511,3927,3511,100.1,111.9,100.1,0,0,0,13266,13546,13402,6052,5358,325.2,11410,-54.1,369.9,145.8,0,0,0,87.2,99.8,0,0,0,0,0,0,0,0,0,0,32,25,5358,,,,6281,4535,55.1,16.3,,0,53097,1765155,138780,1903935,2.8,4210,34156,11,801,19,7.3,137175,7.2,0.3,0,25.3,0,0,,,19,5.3,10.5,0,0,5.3,0,,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,Lahul Spiti,2018-19,300,207,69,115,169,97,38.3,88.7,226,75.3,103,0,0,0.3,17,3,14,17.6,71,66,93,0,0,,71,23.7,88,80.7,84.1,19.3,0,0,0,0,,100,0,10,14,58.8,15.9,87,98.9,1,98.9,87,100,6,6.9,86,98.9,891,0,,173,57.7,92,30.7,156,52,1,0.3,113,0,37.7,,,0,0,3,0,0,,,,,0,4,13,17,23.5,76.5,0,17,0,100,100,0,0,0,100,,,,0,0,0,0,0,0,0,18,0,0,0,51.4,18,0,0,3161,92,35739,0,28,5,2,1,380,73,88,73,83.9,101.1,83.9,0,0,0,240,266,270,0,284,326.4,284,100,326.4,81.7,1,0,0,95.6,87.1,0,0,0,0,0,0,0,0,0,0,230,1,284,240,266,270,0,243,49.6,14.2,28.6,0.6,1155,111031,0,111031,1,0,123,0,0,,0,2816,2.5,0.6,0.3,100.3,0.3,0.3,0,0,0,,,,,,,,2018,"Financial Year (Apr - Mar), 2018"
