YearCode,Maternal_Deaths,Infant deaths reported,State
2017,1.0,21.0,Jammu & Kashmir
2017,0.0,0.0,Himachal Pradesh
2017,4.0,70.0,Meghalaya
2017,0.0,8.0,Sikkim
2017,29.0,65.0,Uttar Pradesh
2018,0.0,0.0,Arunachal Pradesh
2018,1.0,6.0,Arunachal Pradesh
2018,3.0,18.0,Bihar
2018,7.0,19.0,Jammu & Kashmir
2018,0.0,0.0,Himachal Pradesh
2018,4.0,88.0,Meghalaya
2018,0.0,17.0,Nagaland
2018,1.0,2.0,Nagaland
2019,0.0,3.0,Arunachal Pradesh
2019,1.0,3.0,Arunachal Pradesh
2019,0.0,1.0,Jammu & Kashmir
2019,1.0,7.0,Nagaland
2017,87.0,1797.0,West Bengal
2019,0.0,1.0,Nagaland
2017,61.0,1071.0,Andhra Pradesh
2017,48.0,567.0,Andhra Pradesh
2017,0.0,14.0,A & N Islands
2017,32.0,531.0,Andhra Pradesh
2017,95.0,1212.0,Andhra Pradesh
2017,55.0,1070.0,Andhra Pradesh
2017,78.0,704.0,Andhra Pradesh
2017,0.0,0.0,Arunachal Pradesh
2017,87.0,1573.0,Andhra Pradesh
2017,24.0,143.0,Andhra Pradesh
2017,30.0,196.0,Andhra Pradesh
2017,17.0,302.0,Andhra Pradesh
2017,0.0,13.0,Arunachal Pradesh
2017,6.0,8.0,A & N Islands
2017,74.0,1312.0,Andhra Pradesh
2017,12.0,208.0,Andhra Pradesh
2017,27.0,125.0,Andhra Pradesh
2017,0.0,0.0,Arunachal Pradesh
2017,0.0,6.0,Arunachal Pradesh
2017,0.0,40.0,Arunachal Pradesh
2017,0.0,0.0,Arunachal Pradesh
2017,0.0,0.0,Arunachal Pradesh
2017,0.0,7.0,Arunachal Pradesh
2017,9.0,1.0,Arunachal Pradesh
2017,0.0,6.0,Arunachal Pradesh
2017,0.0,5.0,Arunachal Pradesh
2017,0.0,0.0,Arunachal Pradesh
2017,0.0,24.0,Arunachal Pradesh
2017,0.0,1.0,Arunachal Pradesh
2017,1.0,1.0,Arunachal Pradesh
2017,1.0,1.0,Arunachal Pradesh
2017,0.0,3.0,Arunachal Pradesh
2017,0.0,0.0,Arunachal Pradesh
2017,1.0,19.0,Arunachal Pradesh
2017,0.0,0.0,Arunachal Pradesh
2017,9.0,239.0,Assam
2017,34.0,774.0,Assam
2017,16.0,414.0,Assam
2017,166.0,890.0,Assam
2017,11.0,171.0,Assam
2017,17.0,293.0,Assam
2017,15.0,317.0,Assam
2017,67.0,1189.0,Assam
2017,71.0,685.0,Assam
2017,10.0,75.0,Assam
2017,37.0,490.0,Assam
2017,51.0,420.0,Assam
2017,20.0,469.0,Assam
2017,29.0,393.0,Assam
2017,141.0,55.0,Assam
2017,14.0,381.0,Assam
2019,1.0,6.0,Mizoram
2017,28.0,181.0,Assam
2017,98.0,1045.0,Assam
2017,59.0,426.0,Assam
2017,7.0,311.0,Assam
2017,28.0,192.0,Assam
2017,73.0,667.0,Assam
2017,8.0,205.0,Assam
2017,33.0,330.0,Assam
2017,60.0,530.0,Assam
2017,18.0,271.0,Assam
2017,22.0,250.0,Assam
2017,33.0,150.0,Bihar
2017,25.0,171.0,Bihar
2017,23.0,98.0,Bihar
2017,73.0,853.0,Bihar
2017,23.0,244.0,Bihar
2017,3.0,37.0,Jammu & Kashmir
2017,252.0,2002.0,Bihar
2017,10.0,153.0,Bihar
2017,38.0,209.0,Bihar
2017,8.0,48.0,Bihar
2017,51.0,307.0,Bihar
2017,65.0,443.0,Bihar
2017,20.0,41.0,Bihar
2017,37.0,261.0,Bihar
2017,30.0,160.0,Bihar
2017,17.0,157.0,Bihar
2017,38.0,151.0,Bihar
2017,2.0,66.0,Bihar
2017,26.0,599.0,Bihar
2017,8.0,27.0,Bihar
2017,7.0,76.0,Bihar
2017,46.0,161.0,Bihar
2017,33.0,271.0,Bihar
2017,72.0,239.0,Bihar
2017,24.0,347.0,Bihar
2017,17.0,56.0,Bihar
2017,158.0,1619.0,Bihar
2017,36.0,1049.0,Bihar
2017,6.0,30.0,Bihar
2017,9.0,268.0,Bihar
2017,84.0,1019.0,Bihar
2017,16.0,111.0,Bihar
2017,4.0,53.0,Bihar
2017,8.0,83.0,Bihar
2017,14.0,326.0,Bihar
2017,35.0,72.0,Bihar
2017,33.0,246.0,Bihar
2017,24.0,295.0,Bihar
2017,23.0,244.0,Bihar
2017,29.0,206.0,Chhattisgarh
2017,6.0,1355.0,Chandigarh
2017,5.0,61.0,A & N Islands
2017,25.0,215.0,Chhattisgarh
2017,33.0,219.0,Chhattisgarh
2017,42.0,167.0,Chhattisgarh
2017,39.0,271.0,Chhattisgarh
2017,2.0,159.0,Chhattisgarh
2017,16.0,153.0,Chhattisgarh
2017,60.0,362.0,Chhattisgarh
2017,58.0,331.0,Chhattisgarh
2017,4.0,134.0,Chhattisgarh
2017,13.0,377.0,Chhattisgarh
2017,10.0,276.0,Chhattisgarh
