State,District,srcYear,Women_ANC_Reg,Women_ANC_Reg_1st_Tri,Registrations for Ante Natal Care ( ANC ) in the first trimester (to total ANC registrations) (%),Women_ANC_4_Checkups,Women_TT2_Dose,Women_TT_Dose,Pregnant women received 4 Ante Natal Care ( ANC ) check ups (to total ANC registrations) (%),Pregnant women received tetanus-toxoid vaccine ( TT2 ) or tetanus-toxoid ( TT )  booster (to total ANC registrations) (%),Pregnant_Women_180_IFA_Tablets,Women received 180 IFA tablets (to total ANC registrations) (%),Women_Moderately_Anemic_Hb<11,Women_Severely_Anemic_Treated_Hb<11,Pregnant women with Hemoglobin ( Hb ) levels<7 (severe anemia) (to women with Hemoglobin ( Hb ) levels<11 (moderate anemia)) (%),Women detected with hypertension (%),Home_Deliveries,Home_Deliveries_Attended_SBA,Home_Deliveries_Attended_TBA/Dai,Home deliveries attended by Skilled Birth Attendants (%),Deliveries_Public_Institutions,Women_Discharged_Under_48hrs_Public_Facilities,Women discharged in less than 48 hours of delivery in public institutions (%),Deliveries_Private_Institutions,Women_Discharged_Under_48hrs_Private_Facilities,Women discharged in less than 48 hours of delivery in private facilities (%),Institutional_Deliveries_Total,Institutional deliveries (to total ANC registrations) (%),Total_Reported_Deliveries,Institutional Deliveries (to total reported deliveries) (%),Safe Deliveries (to total reported deliveries) (%),Home deliveries (to total reported deliveries) (%),C-Section_Deliveries_Public_Facilities,C-Section_Deliveries_Private_Facilities,C-Section deliveries to reported institutional deliveries (%),C-Section deliveries conducted at public facilities to reported institutional deliveries (%),C-Section deliveries conducted at private facilities (to reported institutional deliveries) (%),Deliveries conducted at public facilities (to reported institutional deliveries) (%),Deliveries conducted at private facilities (to reported institutional deliveries) (%),Women_1st_Postpartum_Checkup_<48hrs,Women_1st_Postpartum_Checkup_48hrs_to_14_days,Women received post partum check up within 48 hours of delivery (to total reported deliveries) (%),Women received a postpartum checkup or Post-Natal Care between 48 hours to 14 days of delivery (%),Reported_Live_Births,Reported live births (to total deliveries) (%),Reported_Still_Births,Reported live births (to reported births) (%),Newborns_Weighed_at_Birth,Newborns weighed at birth (to reported live births) (%),Newborns_Weight_Less_than_25kg,Newborns having weight less than 25 kg (to newborns weighed at birth) (%),Newborns_Breastfed_within_1hr,New borns breastfed within 1 hour (to total live births) (%),Sex_Ratio_at_Birth,Pregnant women with obstetric complications (who were attended to) (to total reported deliveries) (%),Complicated pregnancies treated with blood transfusion (to total women with obstetric complications) (%),Pregnant_Women_360_Calcium_Tablets,Pregnant women given 360 calcium tablets to total Ante Natal Care ( ANC ) registrations (%),Pregnant_Women_One_Albendazole_Tablet_After_1st_Trimester,Pregnant women given one Albendazole tablet after first trimester (%),Pregnant_Women_Tested_for_Blood_Sugar_using_OGTT,Pregnant women tested for blood sugar using Oral Glucose Tolerance Test ( OGTT ) (to total ANC registrations) (%),Pregnant_Women_Tested_Positive_for_Gestational_Diabetes_Mellitus,Pregnant women tested positive for Gestational Diabetes Mellitus (%),Pregnant_Women_Tested_for_Syphilis,Pregnant_Women_Tested_for_Syphilis_Positive,Pregnant women tested for Syphilis found to be  Ante Natal Care ( ANC ) (%),Pregnant women treated for Syphilis found to be sero positive for Syphilis (%),Babies treated for congenital Syphilis (to total babies diagnosed with Congenital Syphilis) (%),Maternal_Deaths,Facility_Based_Maternal_Death_Reviews_Done,Abortions_Reported,MTPs_Public_Institutions,Medical Termination of Pregnancies conducted at public institutions (to total abortions) (%),Medical Termination of Pregnancies ( MTPs ) up to 12 weeks of pregnancy (to total MTPs conducted at Public Institutions) (%),Medical Termination of Pregnancies ( MTPs ) more than 12 weeks of pregnancy (to total MTPs conducted at public institutions) (%),Medical Termination of Pregnancies ( MTPs ) conducted at public institutions (to total MTPs (Private + Public)) (%),Medical Termination of Pregnancies ( MTPs ) conducted at private institutions (to total MTPs (Private + Public)) (%),Total Medical Termination of Pregnancies conducted at public institutions (to total Ante Natal Care registrations) (%),Vasectomies_Total,Tubectomies_Total,Sterilisation_Total,Male sterilization (to total sterilisation) (%),Female sterilisations (to total sterilisation) (%),Sterilisation_Private_Institutions,Sterilisation_Public_Institutions,Sterilisations conducted at other public institutions (to total sterilisation) (%),Sterilisations conducted at other priavte institutions (to total sterilisation) (%),Laparoscopic sterlisations (to total female sterilisations) (%),Mini lap sterlisations (to total female sterilisations) (%),Post partum sterilisations (to total female sterilisations) (%),Post Abortion sterilisations (to total female sterilisations) (%),Laparoscopic sterlisations at public Institutions (to total laparoscopic sterilisations) (%),Laparoscopic sterlisations at public Institutions (to total mini lap sterilisations) (%),Post partum sterlisations at public institutions (to total post partum sterilisation) (%),Post Abortion sterlisations at public institutions (to total post partum sterilisation) (%),Death cases following sterilisation,Death_Cases_Male_Following_Male_Sterilisation,Death_Cases_Female_Following_Female_Sterilisation,Cases_of_Failure_Male_Sterilisations,Cases_of_Failure_Female_Sterilisations,Cases_of_Complication_Male_Sterilisations,Cases_of_Complication_Female_Sterilisations,IUCD_Insertions_Public_Facilities,IUCD_Insertions_Private_Facilities,Post Partum Intrauterine Contraceptive Device ( PP IUCD ) insertions in public facilities (to total IUCD insertions in public facilities) (%),Post Partum Intrauterine Contraceptive Device insertions in public facilities (to total institutional deliveries in public facilities) (%),Intrauterine Contraceptive Device ( IUCD ) insertions in public and private facilities (to all family planning methods (IUCD and permanent methods)) (%),Interval_IUCD_Insertions,PP_IUCD_Insertions_Done,Post_Abortion_IUCD_Insertions_Done,Oral_Pills_Distributed,Emergency_Pills_Distributed,Condoms_Distributed,Centchroman_Distributed,Beneficiaries_1st_Dose_Injectable_Contraceptive,Beneficiaries_2nd_Dose_Injectable_Contraceptive,Beneficiaries_3rd_Dose_Injectable_Contraceptive,Beneficiaries_4th_Dose_Injectable_Contraceptive,Pregnancy_Testing_Kits_Used,Infants_Oral_Polio_Vaccine,Infants_BCG_Vaccine,Infants_Hepatitis_Birth_Dose,Newborns given Oral poliovirus vaccines ( OPV ) at birth (to reported live births) (%),Newborns given Bacillus Calmette Guerin  ( BCG ) at birth (to reported live births) (%),Newborns given Hep-B0 (Birth Dose) at birth (to total reports live births) (%),Infants_DPT1_Vaccine,Infants_DPT2_Vaccine,Infants_DPT3_Vaccine,Infants_Pentavalent1_Vaccine,Infants_Pentavalent2_Vaccine,Infants_Pentavalent3_Vaccine,Infants_Measles_Immunisation,Infants given Measles Rubella immunisation,Infants aged up to 11 months who received Measles and Measles Rubella vaccine (to reported live births) (%),Number of fully immunized children in the age group of 9 to 11 months,Immunization dropout between Bacillus Calmette Guerin ( BCG ) and measles vaccine (%),Children given Vitamin-A dose 1 (to reported live births) (%),Children given Vitamin-A dose 9 (to children given Vitamin-A dose 1) (%),Abcess cases due to Adverse Events Following Immunization ( AEFI ),Deaths due to Adverse Events Following Immunization ( AEFI ),Cases of other complications due to Adverse Events Following Immunization (AEFI),Immunisation sessions held (to immunisation sessions planned) (%),Immunisation sessions where Accredited Social Health Activists ( ASHA ) were present (to immunisation sessions planned) (%),Children under 5 years of age suffered from Pneumonia,Children under 5 years of age suffered from Asthma,Children under 5 years of age suffered from Sepsis,Children under 5 years of age suffered from Diphtheria,Children under 5 years of age suffered from Pertussis,Children under 5 years of age suffered from Tetanus Neonatorum,Children under 5 years of age suffered from Tuberculosis ( TB ),Children under 5 years of age suffered from Acute Flaccid Paralysis ( AFP ),Children under 5 years of age suffered from Measles,Children under 5 years of age suffered from Malaria,Children under 5 years of age suffered from Diarrhea,Children under 5 years of age treated for Diarrhea in In-Patient Department,Infants received the 1st dose of Measles Rubella Vaccine,Infants received the 1st dose of Rotavirus Vaccine,Infants received the 2nd dose of Rotavirus Vaccine,Infants received the 3rd dose of Rotavirus Vaccine,Children age group 16 to 24 months given the 2nd dose of Measles,Children age group 16 to 24 months given the 2nd dose of Measles Rubella Vaccine  ,Female adult patients in In-patient Department ( IPD ) (to total adult patients in IPD) (%),Children in In-patient Department ( IPD ) (to total patients in IPD) (%),Female In-patient Department ( IPD ) deaths (to total deaths in IPD) (%),Number of In-patient Department ( IPD ) deaths (to total patients in IPD) (%),Patients in In-patients Department ( IPD ),Patients in Out-Patients Department given Allopathic treatment,"Patients in Out-Patients Department given Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homoeopathy ( Ayush ) treatment","Patients in Out-Patients Department given Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homoeopathy ( Ayush ) and Allopathic treatment",Number of patients in In-patient Department ( IPD ) (to number of patients in Out-patients Department ( OPD )) (%),Major operations conducted,Minor operations conducted,Major operations conducted (to total operations conducted) (%),Hysterectomy surgeries performed,Hysterectomy surgeries performed (to number of major operations conducted) (%),"Patients given Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homoeopathy ( AYUSH ) treatment in Out-Patient Department ( OPD ) (to total number of patients in OPD) (%)",Dental procedure conducted patients in Out-Patient Department ( OPD ),Patients in Out-Patient Department (  OPD ) on whom Dental procedure was conducted (to total number of patients in OPD) (%),Cases having Haemoglobin ( Hb ) less than 7gm/dl (to number of Hb tests conducted) (%),Male Human immunodeficiency virus ( HIV ) positive cases (to total number of HIV tests conducted on males) (%),Females screened for Human immunodeficiency virus ( HIV ) (to total ANC registrations) (%),Female Human immunodeficiency virus ( HIV ) positive cases (to total number of HIV tests conducted on Females) (%),Human immunodeficiency virus ( HIV ) positive cases (to total number of HIV tests conducted) (%),Blood smears tested positive for Plasmodium Vivax (to total blood smears examined for Malaria) (%),Blood smears tested positive for Plasmodium Falciparum (to total blood smears examined for Malaria) (%),Infant deaths reported,Deaths due to Sepsis (to total reported infant deaths) (%),Deaths due to Asphyxia (to total reported infant deaths) (%),Deaths due to Pneumonia (to total reported infant deaths ) (%),Deaths due to Diarrhea (to total reported infant deaths ) (%),Deaths due to Fever to total reported infant deaths (%),Deaths due to Measles ( to total reported infant deaths ) (%),Institutional deliveries at urban health facilities,YearCode,year
Jammu & Kashmir,Badgam,2017-18,12592,12104,96.1,9707,11465,1366,77.1,101.9,10347,82.2,6402,34.0,82.9,2.1,2.0,0.0,2.0,0.0,3789,16,0.4,,,,3789,30.1,3791,99.9,99.9,0.1,1399.0,,36.9,36.9,,100.0,0.0,1,3716,50.0,98.0,3777,99.6,16,99.6,3777,100.0,42,1.1,3777,100.0,1022,6.8,74.0,2656,21.1,8827,70.1,76.0,0.6,0.0,0.0,9,0.0,0.1,,,1.0,0.0,232,2.0,0.9,100.0,0.0,100.0,0.0,0.0,68.0,394.0,462.0,14.7,85.3,,462.0,0.0,100.0,38.3,49.2,11.4,1.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141,,13.8,4.2,71.2,983,158.0,0.0,25004,1071,163045,403.0,74.0,0.0,0.0,0.0,6497,3777,4126,3776,100.0,109.2,100.0,,,,12479,12573,12906,13055.0,,345.6,13060,-216.4,343.7,140.1,0.0,0.0,0.0,89.5,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,11,,,,,12581.0,,54.1,16.6,,0.0,52405,1723684,134873,1858557,2.8,4444.0,28880.0,13.3,722.0,16.2,7.3,124353,6.7,0.2,0.0,22.0,0.0,0.0,,,21.0,4.8,19.0,0.0,0.0,0.0,0.0,,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,Lahul Spiti,2017-18,321,219,68.2,92,118,90,28.7,64.8,148,46.1,89,0.0,0.0,1.2,20.0,1.0,19.0,5.0,61,58,95.1,0.0,0.0,,61,19.0,81,75.3,76.5,24.7,0.0,0.0,0.0,0.0,,100.0,0.0,25,37,125.0,45.7,80,98.8,1,98.8,76,95.0,1,1.3,78,97.5,1581,0.0,,89,27.7,62,19.3,91.0,28.3,4.0,1.2,81,3.0,25.2,33.3,,0.0,0.0,8,0.0,0.0,,,,,0.0,25.0,50.0,75.0,33.3,66.7,0.0,75.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,15.7,14,0.0,0.0,3226,233,41131,0.0,6.0,0.0,0.0,0.0,566,67,78,66,83.8,97.5,82.5,0.0,0.0,0.0,268,303,318,124.0,141.0,331.3,237,-59.0,332.5,118.4,0.0,0.0,0.0,91.4,71.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,3,141.0,175.0,193.0,221.0,108.0,186.0,50.0,15.3,11.1,0.6,1428,111328,0,111328,1.3,0.0,135.0,0.0,0.0,,0.0,1744,1.6,1.7,0.0,124.6,0.0,0.0,0.0,0.0,0.0,,,,,,,,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,East Jaintia Hills,2017-18,4627,1501,32.4,1235,2050,1645,26.7,79.9,1624,35.1,3559,19.0,29.2,3.2,1800.0,179.0,1621.0,9.9,858,831,96.9,,,,858,18.5,2658,32.3,39.0,67.7,0.0,,0.0,0.0,,100.0,0.0,965,1475,53.6,55.5,2630,98.9,51,98.1,2259,85.9,133,5.9,2313,87.9,917,7.0,0.0,462,10.0,340,7.3,2470.0,53.4,52.0,1.1,3111,279.0,67.2,16.8,,4.0,,110,16.0,12.7,93.8,6.3,100.0,0.0,0.3,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,,4.0,0.5,100.0,93,4.0,4.0,4832,154,10469,17.0,0.0,0.0,0.0,0.0,2587,1235,3171,748,47.0,120.6,28.4,39.0,48.0,43.0,4096,4077,3963,3492.0,0.0,132.8,3475,-10.1,165.7,17.6,4.0,0.0,213.0,87.9,70.1,339.0,51.0,0.0,0.0,0.0,0.0,3.0,0.0,79.0,65.0,6925,428,0.0,0.0,0.0,0.0,3313.0,0.0,70.7,47.3,0.0,0.1,7430,135815,17557,153372,4.8,0.0,1972.0,0.0,0.0,,11.4,2171,1.4,1.9,9.8,11.1,4.9,6.8,0.4,0.2,70.0,2.9,1.4,2.9,4.3,8.6,0.0,,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,North,2017-18,569,507,89.1,474,450,90,83.3,94.9,477,83.8,72,0.0,0.0,3.5,5.0,2.0,3.0,40.0,197,5,2.5,,,,197,34.6,202,97.5,98.5,2.5,0.0,,0.0,0.0,,100.0,0.0,7,365,140.0,180.7,200,99.0,1,99.5,199,99.5,16,8.0,198,99.0,770,0.5,0.0,468,82.2,383,67.3,33.0,5.8,0.0,0.0,243,1.0,42.7,100.0,,0.0,0.0,20,21.0,51.2,100.0,0.0,100.0,0.0,3.7,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,,30.2,6.6,100.0,29,13.0,1.0,8453,118,14886,12.0,12.0,1.0,0.0,0.0,1590,200,201,196,100.0,100.5,98.0,0.0,1.0,0.0,477,477,479,424.0,8.0,216.0,436,-110.9,221.0,90.5,3.0,0.0,39.0,99.6,97.7,4.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,407,43,8.0,0.0,0.0,0.0,1.0,0.0,55.6,25.4,15.4,0.8,1545,57806,865,58671,2.6,0.0,818.0,0.0,0.0,,1.5,2468,4.2,0.9,0.0,46.9,0.0,0.0,0.0,0.0,8.0,0.0,0.0,25.0,0.0,0.0,0.0,,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,Shrawasti,2017-18,49033,18849,38.4,19915,31524,8678,40.6,82.0,29943,61.1,20597,429.0,14.8,1.6,5015.0,547.0,4468.0,10.9,28670,21454,74.8,,,,28670,58.5,33685,85.1,86.7,14.9,30.0,,0.1,0.1,,100.0,0.0,11137,7597,222.1,22.6,31829,94.5,994,97.0,28255,88.8,3977,14.1,27355,85.9,918,5.1,47.7,19442,39.7,10552,21.5,0.0,0.0,0.0,0.0,2532,22.0,5.2,4.5,,29.0,0.0,83,0.0,0.0,,,,,0.0,0.0,516.0,516.0,0.0,100.0,,516.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3296,,80.3,9.2,86.5,642,2648.0,6.0,16191,4834,74506,3725.0,82.0,6.0,0.0,12.0,6118,24240,41433,22616,76.2,130.2,71.1,1318.0,882.0,703.0,37276,35661,34111,33585.0,646.0,107.5,33670,18.9,125.9,51.5,26.0,0.0,37.0,101.8,101.6,1489.0,123.0,48.0,66.0,0.0,1.0,10.0,4.0,49.0,82.0,1781,138,646.0,29.0,0.0,0.0,31061.0,557.0,71.6,30.5,46.6,0.7,28598,637311,195584,832895,3.4,153.0,363.0,29.7,3.0,2.0,23.5,8029,1.0,6.6,1.0,14.6,4.9,3.5,0.0,0.2,65.0,16.9,13.8,0.0,0.0,24.6,0.0,,2017,"Financial Year (Apr - Mar), 2017"
Arunachal Pradesh,Kra Daadi,2018-19,279,102,36.6,53,131,45,19.0,63.1,183,65.6,52,0.0,,1.1,84.0,80.0,4.0,95.2,51,50,98.0,,,,51,18.3,135,37.8,97.0,62.2,0.0,,0.0,0.0,,100.0,0.0,36,23,42.9,17.0,129,95.6,0,100.0,121,93.8,3,2.5,121,93.8,817,0.0,,60,21.5,29,10.4,0.0,0.0,0.0,0.0,60,0.0,21.5,,100.0,0.0,,1,3.0,75.0,66.7,33.3,100.0,0.0,1.1,0.0,8.0,8.0,0.0,100.0,,8.0,0.0,100.0,0.0,50.0,50.0,0.0,,100.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,,42.9,11.8,63.6,8,6.0,0.0,621,175,977,96.0,0.0,0.0,0.0,4.0,297,94,115,79,72.9,89.1,61.2,60.0,56.0,46.0,193,198,191,51.0,184.0,182.2,189,55.7,69.0,39.3,0.0,0.0,0.0,95.4,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,155,26,184.0,18.0,18.0,18.0,65.0,81.0,53.7,42.2,,0.0,758,7509,614,8123,9.3,0.0,67.0,0.0,0.0,,7.6,84,1.0,5.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,East Kameng,2018-19,1619,1010,62.4,159,713,239,9.8,58.8,366,22.6,73,3.0,100.0,0.3,46.0,35.0,11.0,76.1,635,514,80.9,,,,635,39.2,681,93.2,98.4,6.8,0.0,,0.0,0.0,,100.0,0.0,48,124,104.3,18.2,673,98.8,8,98.8,578,85.9,36,6.2,581,86.3,1039,0.0,,125,7.7,58,3.6,59.0,3.6,0.0,0.0,33,0.0,2.0,,,1.0,0.0,4,227.0,98.3,99.1,0.9,100.0,0.0,14.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,,10.0,2.4,100.0,131,15.0,4.0,1502,121,1149,15.0,0.0,0.0,0.0,0.0,668,580,739,447,86.2,109.8,66.4,15.0,14.0,18.0,1043,1014,1003,151.0,725.0,130.2,770,79.6,54.8,12.7,0.0,0.0,4.0,97.3,108.2,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,10.0,158.0,514,47,725.0,0.0,0.0,0.0,115.0,170.0,67.9,32.8,100.0,0.0,2341,40961,4474,45435,5.2,0.0,21.0,0.0,0.0,,9.8,2546,5.6,1.8,0.0,9.9,0.0,0.0,1.4,0.0,6.0,0.0,0.0,16.7,0.0,0.0,0.0,,2018,"Financial Year (Apr - Mar), 2018"
Bihar,Lakhisarai,2018-19,28650,25734,89.8,25716,17561,10845,89.8,99.1,26191,91.4,18281,143.0,21.2,0.4,3659.0,1799.0,1860.0,49.2,15128,14275,94.4,,,,15128,52.8,18787,80.5,90.1,19.5,43.0,,0.3,0.3,,100.0,0.0,7611,6122,208.0,32.6,18633,99.2,207,98.9,18537,99.5,1643,8.9,18448,99.0,899,2.6,0.0,23056,80.5,11728,40.9,570.0,2.0,0.0,0.0,210,0.0,0.7,,,3.0,0.0,10,0.0,0.0,,,,,0.0,11.0,3033.0,3044.0,0.4,99.6,,3044.0,0.0,100.0,0.0,87.4,12.6,0.0,,100.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6118,,22.4,9.0,66.8,4695,1368.0,55.0,9324,1787,88658,146.0,1778.0,639.0,237.0,110.0,7284,15742,23601,15274,84.5,126.7,82.0,1.0,0.0,0.0,26934,26259,25933,16276.0,9904.0,140.5,26071,31.0,0.1,0.0,4.0,0.0,122.0,100.0,71.9,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,70,68,9904.0,0.0,0.0,0.0,15547.0,8771.0,80.1,40.1,48.9,0.1,50464,617662,52611,670273,7.5,4453.0,10753.0,29.3,382.0,8.6,7.8,10045,1.5,2.3,3.8,22.1,0.6,2.1,0.7,0.3,18.0,5.6,0.0,0.0,0.0,0.0,0.0,2588.0,2018,"Financial Year (Apr - Mar), 2018"
Jammu & Kashmir,Badgam,2018-19,12379,12289,99.3,9632,12060,27,77.8,97.6,8592,69.4,6609,58.0,100.0,1.8,2.0,2.0,0.0,100.0,3505,1,0.0,,,,3505,28.3,3507,99.9,100.0,0.1,1312.0,,37.4,37.4,,100.0,0.0,0,3669,0.0,104.6,3509,100.1,8,99.8,3509,100.0,46,1.3,3509,100.0,969,5.6,100.0,6153,49.7,7928,64.0,48.0,0.4,0.0,0.0,0,0.0,0.0,,,7.0,0.0,225,0.0,0.0,,,,,0.0,54.0,314.0,368.0,14.7,85.3,,368.0,0.0,100.0,17.5,65.3,17.2,0.0,100.0,100.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937,,26.6,7.1,71.8,688,249.0,0.0,27227,1348,164396,675.0,1274.0,565.0,219.0,76.0,9376,3511,3927,3511,100.1,111.9,100.1,0.0,0.0,0.0,13266,13546,13402,6052.0,5358.0,325.2,11410,-54.1,369.9,145.8,0.0,0.0,0.0,87.2,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,25,5358.0,,,,6281.0,4535.0,55.1,16.3,,0.0,53097,1765155,138780,1903935,2.8,4210.0,34156.0,11.0,801.0,19.0,7.3,137175,7.2,0.3,0.0,25.3,0.0,0.0,,,19.0,5.3,10.5,0.0,0.0,5.3,0.0,,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,Lahul Spiti,2018-19,300,207,69.0,115,169,97,38.3,88.7,226,75.3,103,0.0,0.0,0.3,17.0,3.0,14.0,17.6,71,66,93.0,0.0,0.0,,71,23.7,88,80.7,84.1,19.3,0.0,0.0,0.0,0.0,,100.0,0.0,10,14,58.8,15.9,87,98.9,1,98.9,87,100.0,6,6.9,86,98.9,891,0.0,,173,57.7,92,30.7,156.0,52.0,1.0,0.3,113,0.0,37.7,,,0.0,0.0,3,0.0,0.0,,,,,0.0,4.0,13.0,17.0,23.5,76.5,0.0,17.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,51.4,18,0.0,0.0,3161,92,35739,0.0,28.0,5.0,2.0,1.0,380,73,88,73,83.9,101.1,83.9,0.0,0.0,0.0,240,266,270,0.0,284.0,326.4,284,100.0,326.4,81.7,1.0,0.0,0.0,95.6,87.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,1,284.0,240.0,266.0,270.0,0.0,243.0,49.6,14.2,28.6,0.6,1155,111031,0,111031,1.0,0.0,123.0,0.0,0.0,,0.0,2816,2.5,0.6,0.3,100.3,0.3,0.3,0.0,0.0,0.0,,,,,,,,2018,"Financial Year (Apr - Mar), 2018"
